6518;Jaka;Matko;1998-05-15;SLO 
7552;Nathan;Mattoon;1998-09-22;USA 
6798;Nicholas;Mattoon;1995-08-04;USA 
2947;Jan;Matura;1980-01-29;CZE 
6305;Joshua;Maurer;1996-09-20;CAN 
7703;Leo;Maus;2003-10-16;GER 
6927;Axel;Mayländer;1998-08-02;GER 
6127;Dominik;Mayländer;1995-03-20;GER 
5263;Jan;Mayländer;1992-03-29;GER 
7435;Dmytro;Mazurczuk;1999-01-19;UKR 
7694;Maxi;Meierhofer;2002-02-10;AUT 
7117;Iwan;Miechonoszin;1997-04-26;RUS 
6640;Mario;Mendel;1996-09-25;AUT 
6667;Benedikt;Menz;1997-10-29;GER 
5864;Florian;Menz;1994-09-12;GER 
6907;Eetu;Meriläinen;1997-04-19;FIN 
